iter	Passed	Remaining
831	2175	439
832	2177	436
833	2179	433
834	2181	431
835	2183	428
836	2184	425
837	2186	422
838	2187	419
839	2189	417
840	2192	414
841	2194	411
842	2195	408
843	2197	406
844	2199	403
845	2201	400
846	2202	397
847	2204	395
848	2207	392
849	2208	389
850	2210	387
851	2212	384
852	2214	381
853	2215	378
854	2217	376
855	2218	373
856	2221	370
857	2223	368
858	2225	365
859	2227	362
860	2229	359
861	2231	357
862	2233	354
863	2235	351
864	2237	349
865	2239	346
866	2241	343
867	2242	341
868	2244	338
869	2246	335
870	2247	332
871	2249	330
872	2251	327
873	2253	324
874	2255	322
875	2257	319
876	2259	316
877	2260	314
878	2262	311
879	2263	308
880	2266	306
881	2268	303
882	2270	300
883	2271	298
884	2273	295
885	2275	292
886	2277	290
887	2279	287
888	2284	285
889	2286	282
890	2288	279
891	2290	277
892	2291	274
893	2293	271
894	2295	269
895	2297	266
896	2299	264
897	2301	261
898	2303	258
899	2304	256
900	2306	253
901	2307	250
902	2309	248
903	2311	245
904	2313	242
905	2315	240
906	2317	237
907	2319	234
908	2320	232
909	2322	229
910	2324	227
911	2325	224
912	2328	221
913	2330	219
914	2332	216
915	2334	214
916	2336	211
917	2338	208
918	2340	206
919	2342	203
920	2344	201
921	2346	198
922	2349	195
923	2350	193
924	2352	190
925	2353	188
926	2355	185
927	2357	182
928	2360	180
929	2361	177
930	2363	175
931	2365	172
932	2366	169
933	2368	167
934	2370	164
935	2371	162
936	2374	159
937	2376	157
938	2378	154
939	2379	151
940	2381	149
941	2383	146
942	2384	144
943	2386	141
944	2388	139
945	2390	136
946	2392	133
947	2394	131
948	2396	128
949	2397	126
950	2399	123
951	2401	121
952	2403	118
953	2405	115
954	2407	113
955	2409	110
956	2410	108
957	2412	105
958	2413	103
959	2415	100
960	2417	98
961	2420	95
962	2422	93
963	2424	90
964	2426	87
965	2428	85
966	2429	82
967	2431	80
968	2434	77
969	2436	75
970	2438	72
971	2440	70
972	2441	67
973	2443	65
974	2445	62
975	2446	60
976	2449	57
977	2451	55
978	2452	52
979	2454	50
980	2456	47
981	2457	45
982	2459	42
983	2461	40
984	2464	37
985	2467	35
986	2468	32
987	2470	30
988	2472	27
989	2473	24
990	2475	22
991	2477	19
992	2479	17
993	2481	14
994	2483	12
995	2485	9
996	2486	7
997	2488	4
998	2489	2
999	2491	0
